HUC_12,cover_crop_percent_2001-2005,cover_crop_percent_2016-2020,tiles_perc_2001-2005,tiles_perc_2016-2020,wetlands_percent_2001-2005,wetlands_percent_2016-2020,forest_percent_2001-2005,forest_percent_2016-2020,CRP_percent_2001-2005,CRP_percent_2016-2020,no_till_fraction_2001-2005,no_till_fraction_2016-2020,PPT30MEAN_mm_2001-2005,PPT30MEAN_mm_2016-2020,meanTemp_degC_2001-2005,meanTemp_degC_2016-2020,soil_CLAYAVE_fraction_2001-2005,soil_CLAYAVE_fraction_2016-2020,cover_crop_percent_diff_2016minus2001,wetlands_percent_diff_2016minus2001,forest_percent_diff_2016minus2001,CRP_percent_diff_2016minus2001,no_till_fraction_diff_2016minus2001,PPT30MEAN_mm_diff_2016minus2001,meanTemp_degC_diff_2016minus2001
70101010101,0.0,0.0,0.00025224083,0.00025224083,0.25187112,0.253229904,0.311787412,0.29663678,0.1012185936,0.017484063799999998,0.0,0.0,0.147897759,0.205466282,0.177352024,0.1528348692,0.3193384,0.3193384,0.0,0.0013587840000000018,-0.015150631999999997,-0.08373452980000001,0.0,0.05756852300000001,-0.024517154799999996
70101010102,0.0,0.0,0.0046590664,0.0046590664,0.273565534,0.276240612,0.4050884,0.373407196,0.0609800982,0.008595833,0.0,0.0,0.137618411,0.19299719799999998,0.174167778,0.1510301256,0.2617921,0.2617921,0.0,0.0026750779999999974,-0.03168120400000002,-0.0523842652,0.0,0.055378786999999985,-0.023137652399999986
70101010103,0.0,0.0,0.0012725244,0.0012725244,0.369919252,0.371276332,0.361457106,0.355050772,0.0608714322,0.008574481120000001,0.0,0.0,0.1349350608,0.186442804,0.175507466,0.150043587,0.15691485,0.15691485,0.0,0.0013570800000000105,-0.006406333999999958,-0.05229695108,0.0,0.051507743199999984,-0.025463878999999995
70101010104,0.0,0.0,0.001444997,0.001444997,0.279121308,0.284328444,0.47132865000000007,0.446635448,0.092137929,0.0154849084,0.0,0.0,0.15569809,0.210000498,0.17726217800000002,0.15023092700000001,0.21043684,0.21043684,0.0,0.005207136000000001,-0.02469320200000008,-0.0766530206,0.0,0.054302407999999996,-0.027031251000000006
70101010201,0.0,0.0,0.0,0.0,0.150801786,0.152061374,0.7908121180000001,0.7920587,0.109587714,0.02887891,0.0,0.0,0.180309832,0.226938532,0.15111945,0.1241824032,0.21332042,0.21332042,0.0,0.001259588000000006,0.0012465819999999406,-0.080708804,0.0,0.046628699999999995,-0.02693704679999999
70101010202,0.0,0.0,0.0,0.0,0.182355464,0.183903718,0.7819430900000001,0.7864222319999999,0.1075686092,0.0189135753,0.0,0.0,0.171088898,0.224545978,0.145431706,0.11646980440000002,0.2607822,0.2607822,0.0,0.001548253999999999,0.0044791419999998805,-0.0886550339,0.0,0.05345708000000002,-0.02896190159999998
70101010203,0.0,0.0,0.0,0.0,0.224657464,0.22585624599999998,0.667239732,0.669498832,0.107691527,0.0189351877,0.0,0.0,0.167022774,0.22976068400000002,0.1564749768,0.12913199879999998,0.27390766,0.27390766,0.0,0.0011987819999999816,0.0022591000000000694,-0.08875633929999999,0.0,0.06273791000000001,-0.027342978000000018
70101010204,0.0,0.0,0.0,0.0,0.23481173800000002,0.238677134,0.6744512460000001,0.63550605,0.1078120396,0.018956376599999998,0.0,0.0,0.1627483968,0.2354718,0.163942804,0.135178564,0.30880204,0.30880204,0.0,0.003865395999999993,-0.038945196000000015,-0.088855663,0.0,0.07272340320000001,-0.028764239999999996
70101010205,0.0,0.0,0.0004859007,0.0004859007,0.262020138,0.267478592,0.67285476,0.6162281500000001,0.05803090400000001,0.00921100822,0.0,0.0,0.16384136,0.219992338,0.16845827400000002,0.14207588200000001,0.19678864,0.19678864,0.0,0.0054584540000000015,-0.05662660999999991,-0.04881989578000001,0.0,0.05615097800000002,-0.026382392000000005
70101010206,0.0,0.0,0.0,0.0,0.21272379,0.215863848,0.616331682,0.616919712,0.019545109800000002,0.0023756242599999996,0.0,0.0,0.16212559399999998,0.223689116,0.16559406999999998,0.1394183172,0.12802677,0.12802677,0.0,0.003140058000000001,0.0005880299999999616,-0.01716948554,0.0,0.06156352200000001,-0.02617575279999998
70101010207,0.0,0.0,0.004444618,0.004444618,0.350649746,0.358341334,0.345080262,0.317261482,0.056144368,0.007865938380000001,0.0,0.0,0.14602336259999998,0.20166223200000002,0.178941026,0.1532638312,0.14314754,0.14314754,0.0,0.007691588000000027,-0.027818780000000043,-0.04827842962,0.0,0.05563886940000004,-0.025677194799999997
70101010301,0.0,0.0,0.0,0.0,0.252762,0.25469622,0.68491853,0.6145168919999999,0.019310432199999998,0.00234159298,0.0,0.0,0.16715374600000002,0.226996554,0.15955389599999997,0.132960056,0.15132883,0.15132883,0.0,0.0019342199999999865,-0.0704016380000001,-0.016968839219999997,0.0,0.05984280799999997,-0.02659383999999998
70101010302,0.0,0.0,0.0,0.0,0.22136720800000004,0.22481210599999998,0.72763197,0.709237038,0.019291696,0.00233932096,0.0,0.0,0.1618659388,0.2197166948,0.167613026,0.142249058,0.1289268,0.1289268,0.0,0.0034448979999999463,-0.018394931999999975,-0.016952375040000002,0.0,0.057850756,-0.025363967999999987
70101010303,0.0,0.0,0.0,0.0,0.16156921,0.162572716,0.594409408,0.5763111860000001,0.0193041904,0.002340836,0.0,0.0,0.1548349336,0.21725333679999997,0.175016674,0.149085808,0.15092206,0.15092206,0.0,0.001003506000000015,-0.018098221999999886,-0.016963354400000002,0.0,0.06241840319999997,-0.025930866000000025
