HUC_12,period,cover_crop_percent,tiles_perc,wetlands_percent,forest_percent,CRP_percent,no_till_fraction,PPT30MEAN_mm,meanTemp_degC,soil_CLAYAVE_fraction
70101010101,2001-2005,0.0,0.00025224083,0.25187112,0.311787412,0.1012185936,0.0,0.147897759,0.177352024,0.3193384
70101010101,2016-2020,0.0,0.00025224083,0.253229904,0.29663678,0.017484063799999998,0.0,0.205466282,0.1528348692,0.3193384
70101010102,2001-2005,0.0,0.0046590664,0.273565534,0.4050884,0.0609800982,0.0,0.137618411,0.174167778,0.2617921
70101010102,2016-2020,0.0,0.0046590664,0.276240612,0.373407196,0.008595833,0.0,0.19299719799999998,0.1510301256,0.2617921
70101010103,2001-2005,0.0,0.0012725244,0.369919252,0.361457106,0.0608714322,0.0,0.1349350608,0.175507466,0.15691485
70101010103,2016-2020,0.0,0.0012725244,0.371276332,0.355050772,0.008574481120000001,0.0,0.186442804,0.150043587,0.15691485
70101010104,2001-2005,0.0,0.001444997,0.279121308,0.47132865000000007,0.092137929,0.0,0.15569809,0.17726217800000002,0.21043684
70101010104,2016-2020,0.0,0.001444997,0.284328444,0.446635448,0.0154849084,0.0,0.210000498,0.15023092700000001,0.21043684
70101010201,2001-2005,0.0,0.0,0.150801786,0.7908121180000001,0.109587714,0.0,0.180309832,0.15111945,0.21332042
70101010201,2016-2020,0.0,0.0,0.152061374,0.7920587,0.02887891,0.0,0.226938532,0.1241824032,0.21332042
70101010202,2001-2005,0.0,0.0,0.182355464,0.7819430900000001,0.1075686092,0.0,0.171088898,0.145431706,0.2607822
70101010202,2016-2020,0.0,0.0,0.183903718,0.7864222319999999,0.0189135753,0.0,0.224545978,0.11646980440000002,0.2607822
70101010203,2001-2005,0.0,0.0,0.224657464,0.667239732,0.107691527,0.0,0.167022774,0.1564749768,0.27390766
70101010203,2016-2020,0.0,0.0,0.22585624599999998,0.669498832,0.0189351877,0.0,0.22976068400000002,0.12913199879999998,0.27390766
70101010204,2001-2005,0.0,0.0,0.23481173800000002,0.6744512460000001,0.1078120396,0.0,0.1627483968,0.163942804,0.30880204
70101010204,2016-2020,0.0,0.0,0.238677134,0.63550605,0.018956376599999998,0.0,0.2354718,0.135178564,0.30880204
70101010205,2001-2005,0.0,0.0004859007,0.262020138,0.67285476,0.05803090400000001,0.0,0.16384136,0.16845827400000002,0.19678864
70101010205,2016-2020,0.0,0.0004859007,0.267478592,0.6162281500000001,0.00921100822,0.0,0.219992338,0.14207588200000001,0.19678864
70101010206,2001-2005,0.0,0.0,0.21272379,0.616331682,0.019545109800000002,0.0,0.16212559399999998,0.16559406999999998,0.12802677
70101010206,2016-2020,0.0,0.0,0.215863848,0.616919712,0.0023756242599999996,0.0,0.223689116,0.1394183172,0.12802677
70101010207,2001-2005,0.0,0.004444618,0.350649746,0.345080262,0.056144368,0.0,0.14602336259999998,0.178941026,0.14314754
70101010207,2016-2020,0.0,0.004444618,0.358341334,0.317261482,0.007865938380000001,0.0,0.20166223200000002,0.1532638312,0.14314754
70101010301,2001-2005,0.0,0.0,0.252762,0.68491853,0.019310432199999998,0.0,0.16715374600000002,0.15955389599999997,0.15132883
70101010301,2016-2020,0.0,0.0,0.25469622,0.6145168919999999,0.00234159298,0.0,0.226996554,0.132960056,0.15132883
70101010302,2001-2005,0.0,0.0,0.22136720800000004,0.72763197,0.019291696,0.0,0.1618659388,0.167613026,0.1289268
70101010302,2016-2020,0.0,0.0,0.22481210599999998,0.709237038,0.00233932096,0.0,0.2197166948,0.142249058,0.1289268
70101010303,2001-2005,0.0,0.0,0.16156921,0.594409408,0.0193041904,0.0,0.1548349336,0.175016674,0.15092206
70101010303,2016-2020,0.0,0.0,0.162572716,0.5763111860000001,0.002340836,0.0,0.21725333679999997,0.149085808,0.15092206
70101010304,2001-2005,0.0,0.0,0.20893383199999999,0.6750254800000001,0.019350768400000003,0.0,0.1540209,0.176256162,0.15749663
70101010304,2016-2020,0.0,0.0,0.21030836599999997,0.649033164,0.00234648424,0.0,0.22007399200000002,0.1505458274,0.15749663
70101010305,2001-2005,0.0,0.0,0.43721311199999996,0.48157352600000003,0.0193381098,0.0,0.14829348599999997,0.17977522399999998,0.16856807
70101010305,2016-2020,0.0,0.0,0.43715582399999997,0.46858592200000004,0.00234494908,0.0,0.21717542399999998,0.15520353339999998,0.16856807
